cem N_HT TCP_10 TCP_kill_10 TCP_60 TCP_kill_60 TCP_120 TCP_kill_120 TCP_240 TCP_kill_240
3.500000000000000000e+00 3.000000000000000000e+00 7.604714783696475688e-01 8.064765322218410137e-01 6.894021861911776572e-01 7.469669008689512335e-01 6.343010637039488975e-01 6.999276415980072441e-01 5.821824097282397581e-01 6.546016998113109997e-01
4.500000000000000000e+00 3.000000000000000000e+00 7.706896227117683296e-01 8.203099469458567938e-01 6.965542333373533346e-01 7.599625526397664199e-01 6.386089534261087941e-01 7.117336991703663296e-01 5.836903381108521360e-01 6.650253621804179671e-01
5.500000000000000000e+00 3.000000000000000000e+00 7.791610391351400100e-01 8.317501399286468811e-01 7.025663699734366885e-01 7.710129310565284610e-01 6.422521626028101505e-01 7.219825039917290299e-01 5.849688442056939497e-01 6.742651714944415398e-01
6.500000000000000000e+00 3.000000000000000000e+00 7.860983323704894277e-01 8.411607280924097152e-01 7.075591576439003161e-01 7.803702247168518014e-01 6.452963204337957004e-01 7.308524009202352900e-01 5.860397286118025351e-01 6.824388557779446085e-01
7.500000000000000000e+00 3.000000000000000000e+00 7.915831317135830769e-01 8.488195857885129092e-01 7.115192436434265577e-01 7.882094651308800826e-01 6.477057170562154909e-01 7.384722349673065178e-01 5.868821337014764605e-01 6.896618248923267469e-01
8.500000000000000000e+00 3.000000000000000000e+00 7.962020189975912432e-01 8.553466329911894039e-01 7.148752061120866585e-01 7.950368430691335808e-01 6.497508650752706894e-01 7.452240546123048981e-01 5.875963973203754964e-01 6.961759357027623718e-01
9.500000000000000000e+00 3.000000000000000000e+00 8.009327912654454762e-01 8.617205956329119232e-01 7.183624608676181245e-01 8.017250278758111248e-01 6.518985525422501537e-01 7.518235834227527947e-01 5.883548571196379751e-01 7.025023728521951893e-01
1.050000000000000000e+01 3.000000000000000000e+00 8.045732158530871647e-01 8.668804222790973402e-01 7.210689999766221048e-01 8.073549238509348802e-01 6.535645751419353333e-01 7.575573159164870063e-01 5.889388687373944276e-01 7.081839730792961474e-01
1.150000000000000000e+01 3.000000000000000000e+00 8.078718610851189919e-01 8.715569417375985672e-01 7.235175264530639971e-01 8.124951673119183981e-01 6.550697200080521920e-01 7.628283132004264333e-01 5.894658867746219721e-01 7.134459388148838288e-01
1.250000000000000000e+01 3.000000000000000000e+00 8.108196328156347388e-01 8.757779410336619108e-01 7.257160348678928230e-01 8.172153021083524704e-01 6.564215795306466150e-01 7.677318562279948910e-01 5.899379534153872395e-01 7.184037583893974066e-01
1.350000000000000000e+01 3.000000000000000000e+00 8.140030324844251819e-01 8.800719634469794661e-01 7.281317104381749283e-01 8.220211808912689655e-01 6.579253584527198218e-01 7.727036238771749499e-01 5.904695469288724352e-01 7.233905436657520616e-01
1.450000000000000000e+01 3.000000000000000000e+00 8.166561982236221207e-01 8.837864042820718913e-01 7.301321262369948606e-01 8.262497707045581841e-01 6.591620347805390301e-01 7.771486084183485410e-01 5.909029185099206050e-01 7.279297096836877534e-01
1.550000000000000000e+01 3.000000000000000000e+00 8.187664060411961042e-01 8.868831951623521448e-01 7.317479659215055943e-01 8.298942166208171933e-01 6.601679676468136249e-01 7.810722232944948829e-01 5.912561589570123344e-01 7.320235825001488728e-01
1.650000000000000000e+01 3.000000000000000000e+00 8.213246762775169296e-01 8.903311536479129318e-01 7.336930954433313889e-01 8.338565315931829591e-01 6.613752413666700303e-01 7.852600454553348985e-01 5.916801749182795112e-01 7.363178623316160021e-01
1.750000000000000000e+01 3.000000000000000000e+00 8.233462806925920807e-01 8.931876868787301804e-01 7.352614840986934075e-01 8.372604737273620090e-01 6.623594952320048801e-01 7.889497817025293847e-01 5.920283410495614795e-01 7.401848742193072317e-01
1.850000000000000000e+01 3.000000000000000000e+00 8.254561189728071291e-01 8.960775495493615850e-01 7.368729116141062851e-01 8.406580662630483980e-01 6.633603215814193321e-01 7.926050878366160957e-01 5.923792938046044121e-01 7.439979064482787896e-01
1.950000000000000000e+01 3.000000000000000000e+00 8.272998014078762896e-01 8.986388814954867632e-01 7.383213611898814532e-01 8.437617378710500216e-01 6.642750482393761091e-01 7.960051810111353765e-01 5.927040133685501644e-01 7.475921392213584760e-01
2.050000000000000000e+01 3.000000000000000000e+00 8.287087396639298831e-01 9.008415262968014758e-01 7.393868203074461798e-01 8.464945247490253122e-01 6.649238600818642153e-01 7.990774724170297549e-01 5.929239675356027250e-01 7.509417844302886946e-01
2.150000000000000000e+01 3.000000000000000000e+00 8.308300724077464228e-01 9.035272709523021195e-01 7.410715813053779799e-01 8.497249418215998551e-01 6.659958815243358643e-01 8.025833153121993968e-01 5.933075736700409442e-01 7.546055368796096285e-01
2.250000000000000000e+01 3.000000000000000000e+00 8.322690854504538605e-01 9.055784281383055800e-01 7.422021004458501103e-01 8.522717317359537192e-01 6.667088900689785991e-01 8.054297317928709177e-01 5.935601635594905945e-01 7.576738107899374519e-01
2.350000000000000000e+01 3.000000000000000000e+00 8.344545114341003211e-01 9.082039775925329073e-01 7.439544162705082897e-01 8.554386967654837859e-01 6.678304402005877938e-01 8.088655176491755805e-01 5.939635660445118370e-01 7.612566802777059882e-01
2.450000000000000000e+01 3.000000000000000000e+00 8.355496905353223536e-01 9.099180859611603056e-01 7.448073278691591526e-01 8.576483187015764287e-01 6.683598912969308525e-01 8.114089736687135623e-01 5.941463720749744493e-01 7.640791573065005560e-01
2.550000000000000000e+01 3.000000000000000000e+00 8.365849173101551628e-01 9.115497244496384432e-01 7.456051484479631064e-01 8.597578352125049284e-01 6.688501363309102832e-01 8.138483150203289496e-01 5.943132972842219974e-01 7.668020856699128140e-01
2.650000000000000000e+01 3.000000000000000000e+00 8.383634575028986458e-01 9.136916791355254031e-01 7.470446627864943956e-01 8.623937700427773967e-01 6.697776766472378629e-01 8.167497892022772543e-01 5.946493911216300665e-01 7.698666869774620780e-01
2.750000000000000000e+01 3.000000000000000000e+00 8.397514590029777626e-01 9.155503860497040680e-01 7.481537712695403020e-01 8.647779262614359030e-01 6.704773799123826539e-01 8.194711625472165251e-01 5.948943536608657379e-01 7.728560767048300306e-01
2.850000000000000000e+01 3.000000000000000000e+00 8.406539847624712181e-01 9.169754480764171767e-01 7.488342834040917495e-01 8.666236477315002462e-01 6.708895130739519486e-01 8.216163790571786585e-01 5.950330362216842417e-01 7.752670928646699933e-01
2.950000000000000000e+01 3.000000000000000000e+00 8.423971673669046201e-01 9.189563540413845377e-01 7.503044516483283743e-01 8.691470639150655764e-01 6.718571500669003882e-01 8.244428310972446994e-01 5.953881593372674086e-01 7.782844351336410949e-01
3.050000000000000000e+01 3.000000000000000000e+00 8.431035970196260054e-01 9.201442513055078098e-01 7.508535604350951020e-01 8.707466045546661260e-01 6.721965519751573748e-01 8.263481284580773689e-01 5.955043558274274451e-01 7.804655047188380212e-01
3.150000000000000000e+01 3.000000000000000000e+00 8.438838237848496071e-01 9.213955018718913426e-01 7.514563589786288356e-01 8.724258866390894873e-01 6.725648772226527905e-01 8.283424024079522052e-01 5.956281621002446069e-01 7.827448449622925741e-01
3.250000000000000000e+01 3.000000000000000000e+00 8.453529303850567667e-01 9.231051033640524928e-01 7.526816118131977040e-01 8.746311509205967338e-01 6.733633343212596101e-01 8.308455754887794642e-01 5.959178133799236665e-01 7.854599109772568699e-01
3.350000000000000000e+01 3.000000000000000000e+00 8.457702001503277778e-01 9.240096248097027232e-01 7.530046305815337737e-01 8.759308413488782197e-01 6.735580984127309545e-01 8.324627437177256617e-01 5.959809545296729238e-01 7.873803055082831959e-01
3.450000000000000000e+01 3.000000000000000000e+00 8.469567240747941650e-01 9.254983889966981181e-01 7.539569512516929306e-01 8.778641190095188840e-01 6.741615400283401671e-01 8.346884348887204652e-01 5.961939414945071070e-01 7.898429519634625473e-01
3.550000000000000000e+01 3.000000000000000000e+00 8.477109046483261023e-01 9.266222348262745934e-01 7.545610060014075193e-01 8.793967153461295094e-01 6.745406589483613491e-01 8.365198185262966435e-01 5.963251525684618581e-01 7.919400192369707714e-01
3.650000000000000000e+01 3.000000000000000000e+00 8.485434507657464431e-01 9.277890897131988446e-01 7.552319242245523201e-01 8.809754469990435100e-01 6.749647404232711478e-01 8.383957943425678350e-01 5.964733412177618543e-01 7.940769434742679378e-01
3.750000000000000000e+01 3.000000000000000000e+00 8.497262374219373138e-01 9.292128096192735498e-01 7.561911176814457569e-01 8.828426053660416439e-01 6.755742043350650983e-01 8.405569736649686208e-01 5.966878825871585468e-01 7.964785612425520078e-01
3.850000000000000000e+01 3.000000000000000000e+00 8.510125747093095772e-01 9.306067883705433363e-01 7.573072851129242222e-01 8.847007096558278105e-01 6.763196725890143757e-01 8.427052690825547199e-01 5.969639222056039030e-01 7.988370314725995458e-01
3.950000000000000000e+01 3.000000000000000000e+00 8.519315265168884155e-01 9.317541041136673252e-01 7.580602452195015495e-01 8.862335984024715119e-01 6.768037870252839872e-01 8.445028829466573184e-01 5.971372933281815509e-01 8.008546669184670730e-01
4.050000000000000000e+01 3.000000000000000000e+00 8.521100466381784644e-01 9.324145346126259115e-01 7.581627288971961587e-01 8.872439980242218249e-01 6.768415153389697458e-01 8.458234542606896111e-01 5.971377097948659118e-01 8.024970710581064148e-01
4.150000000000000000e+01 3.000000000000000000e+00 8.528651340607117382e-01 9.334198117183042376e-01 7.588263626553546359e-01 8.886961649336094782e-01 6.772795044582566870e-01 8.476052340812292307e-01 5.972944479796634676e-01 8.045679934525434840e-01
4.250000000000000000e+01 3.000000000000000000e+00 8.538881822253115983e-01 9.346255876604739887e-01 7.596429546205297756e-01 8.902745323347444062e-01 6.777954933122721792e-01 8.494358358779335871e-01 5.974767325541843199e-01 8.066091612983707915e-01
4.350000000000000000e+01 3.000000000000000000e+00 8.550323755329215514e-01 9.358163692142767998e-01 7.606510092953404634e-01 8.918922884119699912e-01 6.784739902269251166e-01 8.513306161240999925e-01 5.977290064393081526e-01 8.087124282613022963e-01
4.450000000000000000e+01 3.000000000000000000e+00 8.557299710379528968e-01 9.367528340199028358e-01 7.612217749355647545e-01 8.932024989600099163e-01 6.788353295931538467e-01 8.529218827322389007e-01 5.978542727792260925e-01 8.105593569166026358e-01
4.550000000000000000e+01 3.000000000000000000e+00 8.556635573233167813e-01 9.371918917678300209e-01 7.610853078216228695e-01 8.938977501529645764e-01 6.787059096551504300e-01 8.538699718836301189e-01 5.977922121893934904e-01 8.117904223629340832e-01
4.650000000000000000e+01 3.000000000000000000e+00 8.559060705036640737e-01 9.377428145134177884e-01 7.613115473805525113e-01 8.947788522177859694e-01 6.788574000229262717e-01 8.550286729565671484e-01 5.978452373723428526e-01 8.132177026272098264e-01
4.750000000000000000e+01 3.000000000000000000e+00 8.574701555061996494e-01 9.392099734191760030e-01 7.626540138144721759e-01 8.967073816429453892e-01 6.797454539587004518e-01 8.572326626470105904e-01 5.981711568116471200e-01 8.156125196104735409e-01
4.850000000000000000e+01 3.000000000000000000e+00 8.578597502423627175e-01 9.398810761657904189e-01 7.629360262005505655e-01 8.976498593839615792e-01 6.799101104392576422e-01 8.583939508073908931e-01 5.982250179090352615e-01 8.169856349875632695e-01
4.950000000000000000e+01 3.000000000000000000e+00 8.592680368737598551e-01 9.411883798141296165e-01 7.641901516601847799e-01 8.994402042975150335e-01 6.807543321614162313e-01 8.604953868509033210e-01 5.985368602682883399e-01 8.193206988945508362e-01
5.050000000000000000e+01 3.000000000000000000e+00 8.588522434442231734e-01 9.413476427825812065e-01 7.637411011226159507e-01 8.997753813000507472e-01 6.804135149081660394e-01 8.610439030517049730e-01 5.983962153691935182e-01 8.201339266273202089e-01
5.150000000000000000e+01 3.000000000000000000e+00 8.597865255990984057e-01 9.423481824800340467e-01 7.645648253088259683e-01 9.012062419728608109e-01 6.809599808016034705e-01 8.627880719329547032e-01 5.985934631293958752e-01 8.221499056181797993e-01
5.250000000000000000e+01 3.000000000000000000e+00 8.599658724878712635e-01 9.428270287829777496e-01 7.646773530860665469e-01 9.019170514726617682e-01 6.810156975439440874e-01 8.637002458945507444e-01 5.986075280616647287e-01 8.232668435813295105e-01
5.350000000000000000e+01 3.000000000000000000e+00 8.607946299270494706e-01 9.437386926570925372e-01 7.653798982139611295e-01 9.031944071722065592e-01 6.814729209497752960e-01 8.652467223964888099e-01 5.987710428991811495e-01 8.250513685205459469e-01
5.450000000000000000e+01 3.000000000000000000e+00 8.615759711717767555e-01 9.445516352445754160e-01 7.661032264849274576e-01 9.043847495531759373e-01 6.819697086053726487e-01 8.667070905111317058e-01 5.989571612746988905e-01 8.267357483859505418e-01
5.550000000000000000e+01 3.000000000000000000e+00 8.626379431657144048e-01 9.455735910283119550e-01 7.670171481711604011e-01 9.057814380327086079e-01 6.825730005119061694e-01 8.683584670594126642e-01 5.991770568571489486e-01 8.285941824495030028e-01
5.650000000000000000e+01 3.000000000000000000e+00 8.630595558429384750e-01 9.461452035896713575e-01 7.673835309960186368e-01 9.066298345768848410e-01 6.828155859486406687e-01 8.694261131635142581e-01 5.992652018348585408e-01 8.298649815166685428e-01
5.750000000000000000e+01 3.000000000000000000e+00 8.627783954781664821e-01 9.463394365638875261e-01 7.670973562178873273e-01 9.070440246699226217e-01 6.825989971002396350e-01 8.700763085407038355e-01 5.991735742247358276e-01 8.307877783763568669e-01
5.850000000000000000e+01 3.000000000000000000e+00 8.637993039886512348e-01 9.473356803853578700e-01 7.679351369349416423e-01 9.083755812158089693e-01 6.831353055084280479e-01 8.716353076343346107e-01 5.993645102237813438e-01 8.325361747292781001e-01
5.950000000000000000e+01 3.000000000000000000e+00 8.645683709219402768e-01 9.480929150992396526e-01 7.686604776327020661e-01 9.095091815600225837e-01 6.836363305376883526e-01 8.730503938233016292e-01 5.995512839905871028e-01 8.341958580347818009e-01
6.050000000000000000e+01 3.000000000000000000e+00 8.742417901497723243e-01 9.541401657658583613e-01 7.771408042636597235e-01 9.166214832467706186e-01 6.893751435595613097e-01 8.802639532618845575e-01 6.017246503407318592e-01 8.409241815947025023e-01
6.150000000000000000e+01 3.000000000000000000e+00 8.827049209951596254e-01 9.595364413791849234e-01 7.848279651287063396e-01 9.235248109178657572e-01 6.946304340782770703e-01 8.877795895056068698e-01 6.037043752819297726e-01 8.485437230922269203e-01
6.250000000000000000e+01 3.000000000000000000e+00 8.867814769217312598e-01 9.622342810186772510e-01 7.886482879023891668e-01 9.272592118329033850e-01 6.972691840540049535e-01 8.921083439105836899e-01 6.046968003765662569e-01 8.532335529269386987e-01
6.350000000000000000e+01 3.000000000000000000e+00 8.886117869712839568e-01 9.636022476384118463e-01 7.903169338547257894e-01 9.292048012397805534e-01 6.984005443710087357e-01 8.944325610251906422e-01 6.051161404074218986e-01 8.558459526568162890e-01
6.450000000000000000e+01 3.000000000000000000e+00 8.916726841923082736e-01 9.655795052517730515e-01 7.933011913154630612e-01 9.321119961295920575e-01 7.005001640534160856e-01 8.979440860994029050e-01 6.059125962847125013e-01 8.597931507620232283e-01
6.550000000000000000e+01 3.000000000000000000e+00 8.922925921050915976e-01 9.662474181103457571e-01 7.938200578126908269e-01 9.331641588873846871e-01 7.008201731639901455e-01 8.993209937925472630e-01 6.060163849816704307e-01 8.614956421970910716e-01
6.650000000000000000e+01 3.000000000000000000e+00 8.941170037063190801e-01 9.674594010053200188e-01 7.956213407868707455e-01 9.350175515387444403e-01 7.020934677353575237e-01 9.016288314550846561e-01 6.064997691099915933e-01 8.641682336113972740e-01
6.750000000000000000e+01 3.000000000000000000e+00 8.953231005011981214e-01 9.683184151427192132e-01 7.967929063941746604e-01 9.363414703547207063e-01 7.029153024119874082e-01 9.032956509339336026e-01 6.068109255981883887e-01 8.661243941560571313e-01
6.850000000000000000e+01 3.000000000000000000e+00 8.965627429689200234e-01 9.692179022275371203e-01 7.980072717152406625e-01 9.377708344623404413e-01 7.037639933146957461e-01 9.051360674017604468e-01 6.071275920009715499e-01 8.683322715735127817e-01
6.950000000000000000e+01 3.000000000000000000e+00 8.968879996025787005e-01 9.696549400524683282e-01 7.982619554872438794e-01 9.385073880419534387e-01 7.039075768758535911e-01 9.061484811652736893e-01 6.071673983291339116e-01 8.696382046628162721e-01
7.050000000000000000e+01 3.000000000000000000e+00 8.980638138063713471e-01 9.704252056089106571e-01 7.994504071430761361e-01 9.397294823163437893e-01 7.047605754496908403e-01 9.077077746308351847e-01 6.074961084814403112e-01 8.714801643252378938e-01
