Temp TCP TCP_5 TCP_50
4.073062828080423969e+01 9.485781664223230658e-01 9.445274049767390379e-01 1.493893328688182982e-15
4.127962923061637923e+01 9.687604323227972936e-01 9.336433035545215198e-01 1.118150899366987831e-03
4.111161321472960850e+01 9.680390129982407998e-01 9.911469325153466903e-01 1.679054835168259089e-86
4.169747557964323903e+01 9.803019545107041210e-01 9.518310395137863367e-01 9.971891199199144351e-01
4.048652725895436078e+01 9.225795720035042669e-01 9.835787574904010233e-01 9.999985420981929440e-01
4.069259322757354624e+01 9.241109930479386447e-01 8.814884507102493938e-01 9.999987538481331928e-01
4.000641122373349390e+01 8.762413402542577057e-01 8.713757961558874499e-01 9.918643374918483246e-01
4.083254279546135024e+01 9.633142661606078905e-01 9.199233345078314805e-01 0.000000000000000000e+00
3.995851782829247867e+01 8.649486629297729046e-01 9.919217163390012804e-01 9.990736267227751100e-01
4.173905128107898577e+01 9.773016546633487289e-01 8.170979550557325721e-01 9.999999999995982103e-01
4.022401653917091835e+01 8.854689469318060002e-01 9.719287437464050328e-01 0.000000000000000000e+00
4.086016048881593576e+01 9.412159369060022485e-01 7.727016868671238159e-01 8.968636477960891806e-01
3.987652825675409929e+01 8.528435434840387908e-01 4.704003320762346618e-01 9.998386978039125461e-01
4.021782214574123770e+01 8.888943074039735714e-01 9.647521037693896906e-01 2.387186527428927379e-99
4.007109424628357175e+01 8.878006508603102365e-01 8.157320459743867547e-01 7.309795584169906935e-01
4.182741617061903128e+01 9.791105086123923495e-01 8.129274870441843825e-01 9.993247072104092243e-01
4.140414622126763078e+01 9.633701247099545339e-01 9.435413718625920154e-01 9.020382115599637762e-01
4.142459014313318733e+01 9.612361375746859560e-01 9.860382467678340257e-01 9.981027002948932303e-01
4.062992595136067564e+01 9.207193270037898891e-01 9.662924476008835084e-01 0.000000000000000000e+00
4.101747094639320323e+01 9.549087107808330588e-01 9.801807636653275813e-01 9.996831461413658859e-01
4.095208275297866862e+01 9.503570466285993223e-01 9.513693294270891831e-01 1.580699633027458847e-75
4.098788668150956482e+01 9.563784782429365361e-01 9.870259830299564774e-01 5.233896099732988638e-01
4.160639640668507866e+01 9.742099087811815217e-01 9.409787978603327829e-01 9.999999981010463390e-01
4.050357259438927571e+01 9.065276012862817367e-01 6.418905127111008690e-01 9.999997531645503646e-01
4.065928323410987844e+01 9.222098874971046412e-01 9.251154520922636459e-01 0.000000000000000000e+00
4.122149520288655822e+01 9.660795807377791089e-01 9.855602823021667458e-01 9.999999999981399323e-01
4.102663087892439364e+01 9.597493853732302904e-01 9.977075762151208504e-01 6.631581242464393844e-01
4.162279217663494535e+01 9.767500680488566678e-01 9.116646864407784712e-01 1.176142281891203421e-02
4.185705153129139688e+01 9.831408103776807517e-01 9.598074537689237351e-01 3.438654977985675099e-01
4.177116512093721212e+01 9.869665307067645443e-01 9.974989533180350643e-01 9.923705154412519880e-01
4.184574090635120314e+01 9.824913858038554215e-01 9.784463496508357672e-01 9.999999654951660100e-01
4.024773607259186292e+01 9.023638751885425524e-01 9.965220213313313868e-01 9.999942681585525239e-01
4.128050636024966025e+01 9.606737120219815962e-01 9.744802387852014025e-01 9.999998584169270677e-01
4.124165745459679755e+01 9.675831221490835965e-01 9.337210901640619065e-01 9.923497169591286582e-01
4.064290578880564908e+01 9.346569715756473107e-01 9.182007630031480128e-01 1.697489404342769070e-01
4.148853166230617973e+01 9.681725516184110925e-01 8.475939690992960740e-01 9.988988909344064249e-01
4.223138471054311083e+01 9.915432542350388623e-01 9.855017427459440427e-01 9.999999998259958556e-01
4.123240175553992515e+01 9.629301297009025262e-01 8.831891885282640020e-01 9.999988290791236301e-01
4.053098411432972625e+01 9.312111464579155840e-01 7.282335504625300215e-01 9.439849962477534495e-01
3.994175035440048305e+01 8.577505053657455969e-01 6.322366465757276455e-01 9.999987106166513540e-01
4.056256611670867329e+01 9.134295512699597275e-01 9.630871318890545929e-01 9.941184257645132583e-01
4.053618297620296573e+01 9.187742136823876526e-01 4.841159463307636024e-01 2.655871230114289950e-16
4.141521850211448452e+01 9.741832194402907374e-01 9.870619195088425890e-01 9.916123207389778704e-01
4.128781682479589676e+01 9.696995413260410812e-01 9.876181464910559482e-01 9.762206209710030391e-01
4.086157964964151290e+01 9.469212455439874887e-01 9.879099862408303734e-01 9.999998433786938534e-01
3.953932700176446247e+01 8.243791952937192802e-01 9.834476274903695137e-01 2.661230514836266769e-26
4.184740898260623965e+01 9.815112857148153847e-01 9.901756858426473684e-01 9.999999980182989745e-01
4.163330941215999559e+01 9.825784264748408381e-01 9.805267080011587089e-01 9.557720204001907138e-01
4.122974156603191176e+01 9.743167631750452307e-01 9.808194475419523828e-01 9.999999999835119668e-01
4.133897217394974177e+01 9.613267755160390671e-01 9.554180179409250684e-01 2.730379909053179329e-111
4.083398721640250528e+01 9.318454862348053425e-01 5.913140040763114058e-01 2.815085005172261379e-254
4.142801773083017025e+01 9.709129193787702228e-01 9.441446682389464939e-01 9.997257249885104224e-01
4.079655372599494711e+01 9.353969978511544880e-01 8.707998757594650474e-01 0.000000000000000000e+00
4.072706936652934218e+01 9.338117148727024253e-01 7.931749347974552666e-01 1.007146385051463411e-13
4.053185933608351377e+01 9.273814272037428363e-01 9.744289965188216440e-01 0.000000000000000000e+00
4.102202517611748078e+01 9.704972320299756205e-01 9.933774371095507316e-01 9.999447324422725547e-01
4.057080639781520404e+01 9.255421779192625209e-01 6.408632667927997018e-01 9.731363705061356617e-01
3.998503600188129070e+01 8.811307868138475996e-01 9.873155212934838776e-01 9.965448868671323845e-01
4.090676970616759434e+01 9.351504548837918929e-01 9.690674629489892666e-01 9.483560639803453318e-01
4.010916277095462590e+01 8.862604385031690457e-01 9.535864578999116992e-01 9.999999982911722540e-01
4.138834988812732263e+01 9.717983517484872769e-01 9.976136516179717750e-01 9.999998366265656635e-01
4.114210598781877337e+01 9.510265300455916782e-01 9.351422014037424901e-01 9.987033731118672986e-01
4.136870552184568339e+01 9.638311353069709542e-01 8.952221389262049467e-01 9.999999996609543196e-01
4.062114039044631397e+01 9.250819125131751752e-01 9.014934700940618884e-01 5.265324295127028819e-305
4.084828016268473760e+01 9.394450682215147452e-01 9.881072367704129000e-01 9.999999999274724605e-01
4.105555999115371435e+01 9.621289362945624202e-01 9.754950919936847820e-01 9.999994668627731897e-01
4.108557055243042555e+01 9.557440397748060423e-01 9.464726896771653575e-01 9.999318514640651578e-01
4.042723685894312524e+01 8.998625992299941201e-01 9.781145202191852128e-01 9.999999914681561020e-01
4.178833977518205245e+01 9.847846075971855573e-01 9.875303189896097456e-01 1.108739436428715555e-19
4.183573400204330284e+01 9.826683539243561416e-01 9.253837089907822611e-01 9.319266771491314660e-01
4.186834501761514105e+01 9.832511029677899472e-01 9.873826191457417689e-01 8.546451808020249716e-03
4.158188362498820112e+01 9.786435984752004380e-01 9.343051459125722991e-01 3.717572151406185743e-02
4.046857279978085842e+01 9.127365640572814298e-01 9.161952361104684917e-01 9.999996472120851188e-01
4.029770248419567480e+01 8.883893507868458883e-01 9.958936876233193125e-01 9.997277852340155091e-01
4.173118139937630389e+01 9.764663743671343488e-01 9.966526897243478400e-01 9.999835656702356079e-01
4.202201243893617999e+01 9.840927554377325581e-01 9.889215818992462825e-01 9.994519637380473442e-01
4.178705391753378962e+01 9.776362031506672379e-01 9.669758373151682296e-01 9.999528800127973627e-01
4.108817490308466347e+01 9.503462129061414077e-01 8.328607508617266175e-01 0.000000000000000000e+00
4.200279084848550326e+01 9.848127974947790131e-01 9.984776951285395663e-01 9.999999996314430373e-01
4.196046250537067124e+01 9.870670609382694582e-01 9.964836226972658695e-01 9.999999892767450493e-01
4.156929650370796026e+01 9.794822128685888307e-01 9.633928622857605983e-01 9.999997309754510288e-01
4.095232628595110924e+01 9.444727938199120043e-01 9.917704866501910743e-01 9.876971383260090276e-01
4.009025460247866590e+01 8.790771786251959652e-01 9.915856757024837931e-01 1.579428343307433605e-02
4.097248778769863975e+01 9.461084824371061019e-01 9.853244556047783265e-01 1.736456273393082632e-04
4.146000453502244198e+01 9.684622676897388649e-01 9.478294383509453525e-01 8.901723538110585350e-50
4.218890716431577204e+01 9.887484877030652264e-01 9.579015277661742100e-01 4.639175808115624248e-52
4.182954247669783854e+01 9.814638711094698653e-01 9.732604626018152016e-01 1.471086473055416936e-125
4.015846694748923795e+01 8.891899483914369462e-01 8.808689509026228492e-01 0.000000000000000000e+00
4.054628000416896327e+01 9.143634835013177975e-01 7.744130108375508748e-01 1.401624937892998260e-02
4.015028360788241457e+01 8.882550022636011011e-01 8.526201606131925681e-01 2.666461261446351484e-12
