D TCP TCP_het_alpha TCP_het_vol TCP_het_both
4.200000000000000000e+01 0.000000000000000000e+00 2.084853110971614520e-01 2.227754104160038968e-04 2.092251523400643354e-01
4.400000000000000000e+01 3.113412196321785932e-247 2.531241990438522493e-01 3.905374587607352292e-04 2.539498140421204697e-01
4.600000000000000000e+01 3.204114606615788528e-105 2.968626253115385638e-01 7.981761845048182666e-04 2.975634211778231952e-01
4.800000000000000000e+01 5.068014658106398959e-45 3.397365461296924516e-01 1.749491143094739987e-03 3.403552325411008939e-01
5.000000000000000000e+01 1.672119454348776531e-19 3.820440011434301786e-01 3.817962084359500987e-03 3.824326476935319685e-01
5.200000000000000000e+01 1.097835571274830411e-08 4.240427781595654810e-01 9.179842222354571077e-03 4.244351939376280747e-01
5.400000000000000000e+01 4.226504544820872187e-04 4.650818951572501803e-01 2.604889047487807252e-02 4.658687201624459040e-01
5.600000000000000000e+01 3.713235246029851500e-02 5.047301117874880561e-01 8.641671653255850183e-02 5.054910224057698187e-01
5.800000000000000000e+01 2.475811834788036181e-01 5.421701047393583384e-01 2.587308993139010860e-01 5.424608797839950425e-01
6.000000000000000000e+01 5.533459312634033678e-01 5.768061755546398661e-01 5.233147667426556460e-01 5.769876940745537475e-01
6.200000000000000000e+01 7.781372966637474242e-01 6.089686628245505329e-01 7.488107751668393597e-01 6.091045585759095049e-01
6.400000000000000000e+01 8.991221641813342824e-01 6.392508776776038015e-01 8.821695900525772238e-01 6.391946440937498197e-01
6.600000000000000000e+01 9.559248121855612457e-01 6.675413659307993797e-01 9.477676525503637706e-01 6.675051894710058997e-01
6.800000000000000000e+01 9.810736581562731207e-01 6.938147463252445357e-01 9.774275793457439798e-01 6.941248262786098300e-01
7.000000000000000000e+01 9.919329390726918660e-01 7.183213285818690341e-01 9.903524258690413751e-01 7.190018923419421171e-01
7.200000000000000000e+01 9.965723903193949296e-01 7.411289564044197808e-01 9.958960452824867637e-01 7.418315510098880683e-01
7.400000000000000000e+01 9.985455980803357168e-01 7.623203920295976710e-01 9.982577448019739341e-01 7.626847675827751472e-01
7.600000000000000000e+01 9.993832201007953886e-01 7.820796788928542354e-01 9.992609917788576324e-01 7.821498457122154635e-01
7.800000000000000000e+01 9.997385003474568155e-01 8.005225581221308007e-01 9.996866504482402327e-01 8.005907984261612098e-01
8.000000000000000000e+01 9.998891418668651720e-01 8.177307565981174475e-01 9.998671559776065587e-01 8.179082970443078970e-01
8.200000000000000000e+01 9.999530057029595298e-01 8.337485117176620664e-01 9.999436846734368611e-01 8.340623825687432102e-01
8.400000000000000000e+01 9.999800788335238000e-01 8.486364038629604645e-01 9.999761274298422098e-01 8.491584375254522810e-01
