Temp_min Temp Temp_max TCP TCP_kill
4.068255094150111972e+01 4.140536388902313547e+01 4.255986719420107534e+01 8.960126986796854709e-01 9.664832052684800834e-01
3.937717233290091912e+01 4.056437573890445947e+01 4.283895483056206643e+01 8.547775579170323601e-01 9.427283393288198310e-01
3.942730925746714377e+01 4.042932498692199061e+01 4.188677399274105539e+01 8.416151803655652630e-01 9.113262034834670455e-01
4.038232910137325860e+01 4.179379741328895648e+01 4.262886183028855669e+01 9.147724903847110900e-01 9.827003076181373142e-01
3.904888140157276410e+01 4.077231834587075099e+01 4.147896934971792149e+01 8.633733696357362986e-01 9.340700812531257391e-01
3.938757984370861465e+01 4.062542478061816809e+01 4.177363596048686389e+01 8.556030024012957202e-01 9.300745750684729085e-01
4.059652279564073041e+01 4.108738989644069761e+01 4.154796411877929785e+01 8.782874142918415394e-01 9.444557311263608312e-01
3.975400652356200482e+01 4.073062828080423969e+01 4.287525355465999866e+01 8.634104172947146827e-01 9.485781664223230658e-01
3.929946551919593389e+01 4.127962923061637923e+01 4.244918601388165769e+01 8.928689550635940941e-01 9.687604323227972936e-01
3.906914885798531145e+01 4.111161321472960850e+01 4.267447612220605890e+01 8.862617545423676635e-01 9.680390129982407998e-01
4.043370137585566937e+01 4.169747557964323903e+01 4.294690006337289390e+01 9.105513875793969092e-01 9.803019545107041210e-01
3.968437734302455766e+01 4.048652725895436078e+01 4.228264967207741876e+01 8.465457531748329378e-01 9.225795720035042669e-01
3.998553682524946140e+01 4.069259322757354624e+01 4.145881296828486029e+01 8.568089336572066728e-01 9.241109930479386447e-01
3.902184698352770909e+01 4.000641122373349390e+01 4.120445825937172657e+01 8.134141920588040531e-01 8.762413402542577057e-01
3.911067834015398859e+01 4.083254279546135024e+01 4.291659388476196568e+01 8.736161595839377902e-01 9.633142661606078905e-01
3.905851336306511712e+01 3.995851782829247867e+01 4.073591896111631172e+01 8.080533851032766224e-01 8.649486629297729046e-01
4.120676595477820570e+01 4.173905128107898577e+01 4.260622304820398654e+01 9.109721924147309302e-01 9.773016546633487289e-01
3.921108075090489109e+01 4.022401653917091835e+01 4.083641840384218114e+01 8.260803513715793134e-01 8.854689469318060002e-01
3.913809634443627772e+01 4.086016048881593576e+01 4.183736535051376393e+01 8.687808644692587290e-01 9.412159369060022485e-01
3.928222495731839814e+01 3.987652825675409929e+01 4.045833723741662880e+01 8.006682501523650908e-01 8.528435434840387908e-01
3.931430509417256047e+01 4.021782214574123770e+01 4.109959612215978098e+01 8.266156023571770151e-01 8.888943074039735714e-01
3.941810803225854443e+01 4.007109424628357175e+01 4.182157977277973515e+01 8.186107951256764714e-01 8.878006508603102365e-01
4.130317119537780002e+01 4.182741617061903128e+01 4.223904347430190853e+01 9.145422025113814080e-01 9.791105086123923495e-01
4.071061116086171694e+01 4.140414622126763078e+01 4.201475478760816884e+01 8.953247277194107401e-01 9.633701247099545339e-01
4.114230403347702492e+01 4.142459014313318733e+01 4.158523840340847499e+01 8.955282162451264627e-01 9.612361375746859560e-01
3.985567421158048518e+01 4.062992595136067564e+01 4.176519685512577951e+01 8.530529439444576312e-01 9.207193270037898891e-01
3.946226827734164289e+01 4.101747094639320323e+01 4.243371263226632806e+01 8.783379702930020905e-01 9.549087107808330588e-01
3.970217218709527884e+01 4.095208275297866862e+01 4.240435217212718300e+01 8.742620991402678676e-01 9.503570466285993223e-01
3.911111466296914330e+01 4.098788668150956482e+01 4.259759609998818775e+01 8.777191617454429551e-01 9.563784782429365361e-01
4.035477261265115345e+01 4.160639640668507866e+01 4.230182369999874226e+01 9.057584631327570968e-01 9.742099087811815217e-01
